Line	Phenotype
N04_001	1.5
N04_002	1
N04_003	1
N04_004	2
N04_005	1
N04_006	2
N04_007	1
N04_008	0
N04_009	2
N04_010	0.5
N04_011	0
N04_012	0.5
N04_013	1
N04_014	2
N04_015	1
N04_016	1
N04_017	0.5
N04_018	1
N04_019	0
N04_020	0.5
N04_021	0
N04_022	1
N04_023	2
N04_024	1.5
N04_025	0
N04_026	0
N04_027	0
N04_028	0.5
N04_029	0
N04_030	0
N04_031	0
N04_032	2
N04_033	1.5
N04_034	0
N04_035	2
N04_036	0
N04_037	0
N04_038	2
N04_039	1
N04_040	2
N04_041	0
N04_042	1.5
N04_043	0.5
N04_044	2
N04_045	2
N04_046	2
N04_047	1.5
N04_048	2
N04_049	2
N04_050	0
N04_051	0.5
N04_052	2
N04_053	0.5
N04_054	0
N04_055	0
N04_056	2
N04_057	0.5
N04_058	0
N04_059	0.5
N04_060	1.5
N04_061	0
N04_062	0
N04_063	2
N04_064	1
N04_065	1
N04_066	1.5
N04_067	0
N04_068	0
N04_069	2
N04_070	2
N04_071	1.5
N04_072	1.5
N04_073	0
N04_074	0
N04_075	0.5
N04_076	2
N04_077	2
N04_078	0
N04_079	0
N04_080	2
N04_081	0
N04_082	2
N04_083	0
N04_084	1.5
N04_085	2
N04_086	2
N04_087	1.5
N04_088	0
N04_089	0.5
N04_090	2
N04_091	0
N04_092	0
N04_093	2
N04_094	0
N04_095	1.5
N04_096	0
N04_097	0.5
N04_098	0
N04_099	2
N04_100	1
N04_101	0.5
N04_102	0.5
N04_103	0
N04_104	2
N04_105	2
N04_106	2
N04_107	0.5
N04_108	2
N04_109	0
N04_110	2
N04_111	2
N04_112	0
N04_113	2
N04_114	1.5
N04_115	1.5
N04_116	2
N04_117	0
N04_118	2
N04_119	0
N04_120	0.5
N04_121	0
N04_123	1
N04_126	2
N04_128	0.5
N04_130	1
